Rede,Nome Fantasia,Logradouro,Bairro,Cep,Uf,Municipio,Cnpj,Aberta,Latitude,Longitude
Casas Bahia,São Caetano - Matriz,"Avenida Conde Francisco Matarazzo, 100",Centro,09520-100,SP,São Caetano Do Sul,33041260119641,Sim,-23.6110532,-46.5708174
Casas Bahia,Heliópolis,"Estrada Das Lágrimas, 1790",Ipiranga,04232-000,SP,São Paulo,33041260159511,Não,-23.617257,-46.593187
Casas Bahia,Shopping Central Plaza,"Avenida Doutor Francisco Mesquita, 1000",Quinta Paineira,03153-001,SP,São Paulo,33041260114259,Sim,-23.592702,-46.584905
Casas Bahia,Parque São Lucas,"Avenida Do Oratorio, 2265",Pq São Lucas,03221-100,SP,São Paulo,33041260116200,Sim,-23.5927161,-46.5467319
Casas Bahia,Ipiranga 2,"Rua Silva Bueno, 2452",Ipiranga,04208-002,SP,São Paulo,33041260100460,Sim,-23.6008653,-46.6004196
Casas Bahia,Ipiranga,"Rua Silva Bueno, 2153",Ipiranga,04208-052,SP,São Paulo,33041260100380,Sim,-23.5956108,-46.6007209
Casas Bahia,Vila Prudente,"Praça Padre Damiao, 93",Vila Prudente,03126-050,SP,São Paulo,33041260114925,Não,-23.581107,-46.585326
Casas Bahia,Shopping Grand Plaza,"Avenida Industrial, 600",Campestre,09080-500,SP,Santo André,33041260120658,Sim,-23.642277,-46.537317
Casas Bahia,Vila Merces,"Avenida Padre Arlindo Vieira, 1273",Jardim Vergueiro,04166-000,SP,São Paulo,33041260064804,Sim,-23.6347404,-46.6058281
Casas Bahia,Rudge Ramos,"Avenida Senador Vergueiro, 5058",Rudge Ramos,09604-000,SP,São Bernardo Do Campo,33041260119218,Sim,-23.6642113,-46.5625369
Casas Bahia,Vila Formosa,"Praça Doutor Sampaio Vidal, 49",Vila Formosa,03356-000,SP,São Paulo,33041260114682,Sim,-23.5640597,-46.5486191
Casas Bahia,Jardim Grimaldi,"Avenida Sapopemba, 8491",Jardim Adutora,03988-010,SP,São Paulo,33041260116030,Sim,-23.6033977,-46.5098694
Casas Bahia,Santo Andre,"Rua General Glicerio, 140",Centro,09015-190,SP,Santo André,33041260120577,Sim,-23.654276,-46.528032
Casas Bahia,Shopping Plaza Sul,"Praça Leonor Kaupa, 100",Jardim Da Saude,04151-100,SP,São Paulo,33041260101513,Não,-23.620182,-46.627602
Casas Bahia,Vila Diva,"Avenida Sapopemba, 3691",V Regente Feijo,03345-001,SP,São Paulo,33041260116383,Sim,-23.6064789,-46.5076134
Casas Bahia,Santo Andre 2,"Rua Campos Sales, 95",Centro,09015-200,SP,Santo André,33041260120224,Sim,-23.658643,-46.523567
