Rede,Nome Fantasia,Logradouro,Bairro,Cep,Ddd,Telefone,Uf,Municipio,Codigo Unidade,Cnpj,Latitude,Longitude
Yamaha,BEZAMOTOS - QUIXA,AV. PLACIDO CASTELO  1495,CENTRO,63900-069,088,3412-0015,CE,QUIXADA,185,11082459000106,-4.9781327,-39.018799
Yamaha,VEREDA,AV. PADRE CICERO  3050-A,ANTONIO VIEIRA,63022-010,088,3102-3450,CE,JUAZEIRO DO NORTE,29,01411114000197,-7.226252,-39.3325295
Yamaha,FORTIM NAUTICA,CANTO DA BARRA  140 A ,BARRA,62815-000,088,3413-1585,CE,FORTIM,506,07802915000160,-4.4787776,-37.8724519
Yamaha,MOTOFACIL - SANTANA DE IPANEMA,RUA CORONEL LUCENA MARANHAO  90,MONUMENTO,57500-000,075,3623-8989,AL,SANTANA DO IPANEMA,421,32916685000298,-9.3725251,-37.2435238
Yamaha,MOTO POINT - PENEDO,AV. CANDIDO TOLEDO  546,SANTA LUZIA,57200-000,082,3551-4080,AL,PENEDO,174,10479115000164,-10.2874407,-36.5823896
Yamaha,DICASA MOTOS - URUACU,AVENIDA WEIMAR BARROSO  S/N,SAO SEBASTIAO,76400-000,062,3367-2135,GO,URUACU,394,21201147000209,-14.5226059,-49.1580542
Yamaha,MOTOVESA - RIO VERDE,AV. PRESIDENTE VARGAS  1630,JARDIM GOIAS,75903-290,062,3247-7607,GO,RIO VERDE,419,04215998000364,-17.7899077,-50.9229205
Yamaha,MARE MANSA,RUA JOAO NAVES DE AVILA  285,CENTRO,38400-600,034,3214-3734,MG,UBERLANDIA,533,25649674000142,-18.9281659,-48.2510067
Yamaha,USE MOTOS,AV. FLORIANO PEIXOTO  3283,BRASIL,38400-704,034,3211-7070,MG,UBERLANDIA,64,04119464000172,-18.8994698,-48.2619561
Yamaha,DICASA MOTOS,AV. FEDERAL  216,SETOR CENTRAL,76550-000,062,3367-2135,GO,PORANGATU,60,21201147000110,-13.3498444,-49.284143
Yamaha,DICASA MOTOS,AVENIDA FEDERAL  216,SETOR CENTRAL,76550-000,062, 3367-2135,GO,PORANGATU,496,21201147000110,-13.3498444,-49.284143
Yamaha,HP MOTONAUTICA,AV ALMIRANTE BARROSO 315,VILA SAO GERALDO,37030-320,035,3222-1746,MG,VARGINHA,513,00626625000163,-21.5414949,-45.44965939999999
Yamaha,NOVA MOTOS - VARGINHA,AVENIDA MINISTRO BIAS FORTES  180,CENTRO,37002-450,035,3214-3020,MG,VARGINHA,369,34161386000216,-21.5593267,-45.4415317
Yamaha,MARCOVEL XINGUA,AV. XINGU  231,CENTRO,68555-013,094,3426-2175,PA,XINGUARA,154,08133307000253,-7.101142,-49.950059
Yamaha,MARCOVEL MOTOS,AV. BELEM  S/N,RODOVIARIO,68385-000,094,3433-3533,PA,TUCUMA,141,08133307000172,-6.7529385,-51.1637781
Yamaha,TAPAJOS MOTOC.,AV. MENDONCA FURTADO  3514,LIBERDADE,68040-148,093,3523-4466,PA,SANTAREM,95,04932236000117,-2.424392,-54.721074
Yamaha,TAPAJOS MOTOCENTER,AV MENDONCA FURTADO 3500,ALDEIA,68040-050,093,3523-4523,PA,SANTAREM,586,04932236000460,-2.4237176,-54.7136345
Yamaha,CICLOVIA,"RUA JÚLIO DE CASTILHOS, 1945",GOIÁS,96810246,051,3713-1555,RS,SANTA CRUZ DO SUL,481,72037112000390,-29.7167649,-52.446714
Yamaha,CICLOVIA STA CR,RUA JULIO DE CASTILHOS  1945,GOIAS,96810-246,051,3713-1555,RS,SANTA CRUZ DO SUL,127,72037112000390,21.352384,-157.883805
Yamaha,MOTO ARTE - SANTA CRUZ,AVENIDA PREFEITO BRAZ DE LIRA  215,MALAQUIAS CARDOSO,55190-398,081,3136-2774,PE,SANTA CRUZ DO CAPIBARIBE,374,13240838000366,-7.9552448,-36.1994348
Yamaha,F. C. MOTOS NAUTICAS,AV. SENADOR VITORINO  960 - LOJA 9,RETIRO NATAL,65031-655,098,3256-0298,MA,SAO LUIS,66,04090529001419,-2.5406257,-44.28549779999999
Yamaha,F. C. MOTOS S LUIS,AV. JERONIMO DE ALBUQUERQUE MARANHAO  90,ANGELIM,65060-641,098,3256-0298,MA,SAO LUIS,124,04090529001257,-2.551632,-44.219157
Yamaha,FC MOTOS NAUTICAS,AV. SENADOR VITORINO FREIRE  960  LOJA 9,RETIRO NATAL,65031-655,098,3232-3553,MA,SAO LUIS,502,04090529001419,-2.5406257,-44.28549779999999
Yamaha,MUNDOSAM SAO LUIZ,AV. JERONIMO A MARANHAO  9 QD 27,VINHAIS,65074-199,098,3256-5150,MA,SAO LUIS,284,06032602001421,-2.521451,-44.248335
Yamaha,MOTOMIL,AV. DORGIVAL PINHEIRO DE SOUZA  1121,CENTRO,65903-270,099,3525-2329,MA,IMPERATRIZ,21,07494065000260,-5.5236421,-47.4765192
Yamaha,MOTOSHOW - IMPERATRIZ,AV PEDRO NEIVA DE SANTANA  3478,VILA REDENCAO,65910-345,094,9139-2411,MA,IMPERATRIZ,412,40974077000187,-5.4832783,-47.4379933
Yamaha,MUNDOSAM TIMON,AV. FRANCISCO CARLOS JANSEN  1487,PARQUE PIAUI,65631-240,086,3025-8368,MA,TIMON,296,06032602000107,-4.8618068,-43.3656252
Yamaha,CELSO MOTORCICLOS,R ALBERTO PASQUALINI  449  ANEXO 01 ,APARECIDA,99670-000,054,9163-7446,RS,RONDA ALTA ,474,90687203000190,-27.7934026,-52.7670021
Yamaha,F. C. MOTOS,AV. SANTOS DUMONT  4100,SAO SEBASTIAO,65400-000,099,3661-5256,MA,CODO,112,04090529000102,-4.477856,-43.895187
Yamaha,DISNOVE MOTOS,RUA DA CONCORDIA  460,SANTO ANTONIO,50020-050,081,3271-6868,PE,RECIFE,116,11696408000166,-8.0674921,-34.882126
Yamaha,DISNOVE MOTOS - CAXANGA,AV. CAXANGA  1107,ZUMBI,50720-655,081,3271-6868,PE,RECIFE,109,11696408000670,-8.0522338,-34.9183235
Yamaha,MOTOVIA,AV. MAL. MASCARENHAS DE MORAES 2244,IMBIRIBEIRA,51180-001,081,2129-0202,PE,RECIFE,211,05152701000160,-8.1108795,-34.9125242
Yamaha,RECIFE NAUTICA,ESTRADA DOS REMEDIOS   N 2034,AFOGADOS,50750-360,081,3226-4006,PE,RECIFE,574,70055702000158,-8.0758002,-34.9074128
Yamaha,TRACAO MOTOS,AV. CONSELHEIRO AGUIAR  476,BOA VIAGEM,51011-031,081,3445-1848,PE,RECIFE,359,28628169000100,-8.0947494,-34.8845277
Yamaha,TRACAO MOTOS - CASA AMARELA,RUA PADRE LEMOS  833,CASA AMARELA,52070-200,081,3445-2504,PE,RECIFE,385,28628169000290,-8.0209529,-34.9223251
Yamaha,CASA PARAIBA,AV. VILLE ROY  7405,SAO VICENTE,69303445,095,3224-9541,RR,BOA VISTA ,472,22895064000130,2.8100969,-60.682407
Yamaha,LIRA MOTO ,AV. MAJOR WILLIAMS  1088 ,SAO FRANCISCO ,69301-110,095,3224-6600,RR,BOA VISTA ,527,07277741000163,2.8281905,-60.6688629
Yamaha,LIRAMOTO,AV. MAJOR WILLIAMS  1088,SAO FRANCISCO,69301-110,095,3224-6600,RR,BOA VISTA,136,07277741000163,2.8281905,-60.6688629
Yamaha,LIRAMOTO - ASA BRANCA,AV. GENERAL ATAIDE TEIVE  4679,ASA BRANCA,69312-242,095,3625-8944,RR,BOA VISTA,206,07277741000244,2.8178275,-60.7220919
Yamaha,PICA PAU MOTOS  - JARDIM TROPICAL,AV. XV DE NOVEMBRO  195 - TERREO,JARDIM TROPICAL,76920-000,069,3461-1480,RO,OURO PRETO DO OESTE,215,02952164000225,-10.714945,-62.253195
